"H_OBS" "K_OBS" "H_SIGMA" "K_SIGMA" "H_TRUE" "K_TRUE" "P"
0.507848803194106 0.295968175623096 0.001 0.001 0.507416212903834 0.295851008255548 7.62994937921692
-0.026018030701599 0.0392535041881469 0.001 0.001 -0.0252943746666948 0.0398681987474093 27.5791891743071
0.0956358739407312 0.0128616962890292 0.001 0.001 0.0963191123783959 0.0124266536210873 2.62017515392001
-0.397297212268899 0.135777297207291 0.001 0.001 -0.397710743239905 0.13889923837958 33.6692773755605
-0.0160558231560789 -0.0309012306592009 0.001 0.001 -0.0156528045187793 -0.0309761443714835 23.9446916638481
-0.131531533586247 0.261254507021856 0.001 0.001 -0.130415817139501 0.261128176921925 2.11869165339248
0.34607409301882 -0.122604111693541 0.001 0.001 0.345966659114863 -0.125384545209225 59.1045274981179
-0.259503886224378 0.0201864911003773 0.001 0.001 -0.259067506361214 0.0205212050303842 119.445597592579
0.0485485897148356 -0.0560502635160104 0.001 0.001 0.0484131544764674 -0.0562541768202181 1.23196680886578
-0.00814828292085171 -0.0385819643311471 0.001 0.001 -0.00810077045555065 -0.0386209075325202 171.434026895923
0.00635929392727317 0.0165852138602628 0.001 0.001 0.00746236994584102 0.0167545257314761 28.1876937647071
-0.0147017374837396 0.0289197965571001 0.001 0.001 -0.0129638270065678 0.0294565637669761 126.210660765
0.00687653808317762 0.0685476931141372 0.001 0.001 0.00589121185266146 0.069132434132465 43.9387926921929
-0.0261467552186965 0.0930985342561012 0.001 0.001 -0.0252287220263067 0.0957375496923937 11.6782407613391
0.0935996683587532 0.0981722862600158 0.001 0.001 0.0934406819123987 0.0997774689325818 99.7015404474371
0.017624453743385 0.0968135039824019 0.001 0.001 0.0176289091365663 0.0968867723365653 4.57708766829125
-0.0149183391203509 0.0187532160633287 0.001 0.001 -0.0159481906802422 0.0182478027265872 6.23616067157673
-0.310660189155628 0.303047561155714 0.001 0.001 -0.309866604456588 0.303022045916759 87.6523335014514
0.0097858263002865 -0.00458546490860912 0.001 0.001 0.00990085165303281 -0.00518857853819728 3.00667481837085
-0.0147496659346263 -0.105152191238834 0.001 0.001 -0.0166245587788896 -0.107106954753535 28.8249321847702
0.0493580063388345 -0.224818452794491 0.001 0.001 0.048937556569199 -0.22337247680764 1.85340165502248
0.217894369599065 0.455047427874423 0.001 0.001 0.218249810696104 0.454854338373067 3.1314647047386
-0.0102616042016645 -0.0273858435565089 0.001 0.001 -0.0111779925460145 -0.0261483417700632 7.77653329258173
-0.205957536443446 0.236229766684556 0.001 0.001 -0.206466179042466 0.237139716071266 22.5559614456403
0.0327849672775827 0.306154791197898 0.001 0.001 0.0331239435130271 0.305616294112811 2.42647694031355
0.0315753063029286 0.0129070530489724 0.001 0.001 0.0325527297426184 0.0143019120201078 27.6563441598896
-0.19582682546061 -0.183978098709011 0.001 0.001 -0.197560173327891 -0.183409434312996 12.3313909694928
-0.0105559221257489 -0.0159638697992506 0.001 0.001 -0.011705472161383 -0.0165296248645246 1.97332307239152
0.218380212752643 -0.516628679759485 0.001 0.001 0.216346780610936 -0.515705604873054 10.903061576043
-0.0212651729819592 0.0389601113926389 0.001 0.001 -0.0219199310837244 0.0373385920290016 168.451328122516
-0.0378670990135171 0.0241112850017212 0.001 0.001 -0.0362993319074238 0.0250785615103614 1.16272913700945
-0.264099225486899 -0.745543128170404 0.001 0.001 -0.264714222549936 -0.748896342051037 5.1278568953188
-0.00564218147504385 -0.0217473377178859 0.001 0.001 -0.0066899443776821 -0.0212202800421303 312.623291005215
-0.254726918105401 -0.0285102436956988 0.001 0.001 -0.254675316631315 -0.0299631976526015 98.5310433987224
-0.478866765490123 -0.307792305912987 0.001 0.001 -0.479080380744669 -0.307657034476701 2.35512450425458
-0.065601355859554 -0.0906161218779458 0.001 0.001 -0.0652074188961195 -0.0898103739381777 124.604845328455
-0.226786558419008 -0.210257526729629 0.001 0.001 -0.228309251914908 -0.211900996906155 6.81956198475544
0.0143233545316639 -0.0205643873379477 0.001 0.001 0.0151047812853306 -0.0213385617853073 19.4080456938753
0.0912748552863197 -0.0456489834914076 0.001 0.001 0.0916515584054576 -0.0459572472162598 351.08848741491
-0.459780009440436 0.228390781814287 0.001 0.001 -0.459432887648814 0.229627884497121 47.1413075619027
-0.0270022139803702 0.0314439302108989 0.001 0.001 -0.0247322244767533 0.0293999823185605 10.1750281477881
0.165011749906361 -0.377417069180416 0.001 0.001 0.162878328133541 -0.378864484892137 1.30448579765778
0.256543730571501 -0.197083618253241 0.001 0.001 0.256603944351735 -0.196674665382745 27.243832788076
-0.514264481260956 -0.214071835978448 0.001 0.001 -0.513354614171304 -0.211512127571923 36.1347291585838
0.404703326712556 0.451154408903832 0.001 0.001 0.404153333569334 0.451494651819288 29.9879471932555
-0.499082658302874 0.36131852088007 0.001 0.001 -0.498551694298707 0.361400129589812 317.369228506843
-0.0110159194802312 -0.0391171759204851 0.001 0.001 -0.0116260092780457 -0.0402778573595798 5.43948242306129
0.084389471561076 -0.0719414969818347 0.001 0.001 0.0863531072972023 -0.0716543396939756 169.776057993407
0.0195234815609916 0.595035536267616 0.001 0.001 0.0207801120724589 0.593406419831832 9.26154375500158
-0.0736918395259357 0.0394645011401985 0.001 0.001 -0.074035906278471 0.0387043977613101 2.16952921049089
-0.0269239047918981 0.0278478103468571 0.001 0.001 -0.0269381232001706 0.0283991485455244 21.9211865744307
-0.0817632493966321 0.00548434869720745 0.001 0.001 -0.0823142104321102 0.00593056673179628 28.7769889871977
-0.00223213668468809 -0.0187885604148583 0.001 0.001 -0.00044229152980136 -0.0187695509645712 1.38272828287111
-0.0374977119317074 -0.0781001486299021 0.001 0.001 -0.0396726214350198 -0.0782980064324911 6.96662501850847
-0.240613033109363 0.376589386861513 0.001 0.001 -0.240904967019905 0.377653317484072 11.1628427543108
-0.206725890237164 0.369609227240096 0.001 0.001 -0.207160584675626 0.368398520729353 8.00509284717771
0.340668567769467 -0.11268691284492 0.001 0.001 0.342675943878895 -0.111773677373568 2.65466659793265
0.104131129410462 -0.0426420846735483 0.001 0.001 0.104786124314889 -0.0439076639345205 2.10407493146872
0.0657426668669797 -0.457274404807171 0.001 0.001 0.0659100792140049 -0.45760462731531 8.00509140145949
-0.0988078142628086 0.0103990039326971 0.001 0.001 -0.0982060403682362 0.0114931781941404 1.23827951775275
0.0213543156054845 0.00483570753159145 0.001 0.001 0.0200490158015101 0.00530460500303722 128.13393983807
-0.107160063265455 0.51063812365863 0.001 0.001 -0.104977859491624 0.510749716656712 310.670675288509
0.419707355441798 0.454867665684184 0.001 0.001 0.420115775398303 0.454912067148007 86.1257762232151
0.348770845770524 -0.0765746740769818 0.001 0.001 0.348910431272173 -0.074085582183088 2.96783932234955
-0.00391519447762987 -0.000987684703446587 0.001 0.001 -0.00259335931434385 -0.00138779985619722 59.4525107572551
0.0399210869655766 0.0267780890163377 0.001 0.001 0.0384717760727925 0.0267530831980306 4.73860480459135
0.00859952006927861 0.000688533236831027 0.001 0.001 0.00831371715739312 -0.000104181462453428 289.427720037784
0.0269347043141152 0.024679955521775 0.001 0.001 0.0267082265906783 0.0251876040516197 3.80605147477871
-0.0979273049289364 0.015630116014249 0.001 0.001 -0.0983682948613476 0.0167458532570185 1.47325163274038
-0.0198363120541444 0.0457990631632329 0.001 0.001 -0.0192439550162633 0.0464100597128781 12.060264092559
-0.0241901547120795 0.0194379282281557 0.001 0.001 -0.0239852738597666 0.0184157350832751 10.4953455549003
-0.0213596057699912 0.0143173023239758 0.001 0.001 -0.0202503531749887 0.0150167732122582 1.30321444360345
0.0282392363695522 -0.0666722031519504 0.001 0.001 0.0288276039388505 -0.0674351718982981 2.95549960894251
-0.0862457688840189 -0.0264719446729112 0.001 0.001 -0.085171233725028 -0.0272954083775966 27.9542180543923
0.0495790654693691 -0.0136768649454809 0.001 0.001 0.0496813230489361 -0.0122194370341379 4.71553022625459
0.15169138647345 -0.281780903774125 0.001 0.001 0.151555383607619 -0.28117218339011 19.9840056385412
0.0110385464547701 0.0273969376079064 0.001 0.001 0.0116838455528472 0.027527213345593 6.48203510380884
-0.134788010497396 -0.478256327606346 0.001 0.001 -0.133941794920332 -0.478524366925392 3.70848379087779
-0.357769437246473 0.126178718090965 0.001 0.001 -0.358426769746223 0.12769228332045 69.7639243589926
-0.0087436936782656 0.0376580278957209 0.001 0.001 -0.00836471899180172 0.0368649182050381 69.8719847259067
-0.0232769750635272 -0.0548606132259279 0.001 0.001 -0.0227356491559318 -0.0547387632458085 2.3810973001308
0.00786587562841129 -0.111087586659041 0.001 0.001 0.00788788234155718 -0.109856107479015 1.61972868558491
0.668630718701217 0.0240378777389806 0.001 0.001 0.669379217248782 0.0241456773160423 9.24422702947741
-0.0409210402290172 0.0615504512022701 0.001 0.001 -0.0411360512413602 0.0620216692644311 246.111906218653
-0.0679316753103562 0.0299075269464916 0.001 0.001 -0.0684302027836206 0.0300333018311847 3.32763634833141
-0.0198541564216805 0.00539832602110255 0.001 0.001 -0.0185825481584007 0.00680693208876782 54.750747470129
-0.0826275883312115 -0.251642762709352 0.001 0.001 -0.0837688118223767 -0.251822591156297 44.1520233314105
-0.0200109975444844 -0.265131137386682 0.001 0.001 -0.0194457113646583 -0.264852167983931 3.9246831039865
0.0551193371652007 -0.110513765597813 0.001 0.001 0.0546595562410341 -0.110184179402174 75.4157864952631
-0.281017279518278 -0.113035631735218 0.001 0.001 -0.280915538420102 -0.114770131751314 41.4439003928653
0.0392924397568572 0.0650632145927165 0.001 0.001 0.0396844330293181 0.0651771620047682 39.6560659438029
-0.322948049508774 -0.105459847348651 0.001 0.001 -0.322520671515789 -0.10586844663393 98.7134810358909
0.0942224899239553 0.0121118699161532 0.001 0.001 0.0941969542548556 0.0100702758459334 1.80219159945078
-0.447165878004186 -0.0893652753027043 0.001 0.001 -0.446446357858333 -0.0870542635073411 58.9165027072805
-0.0503993587906809 -0.00469735366516441 0.001 0.001 -0.0512315956047962 -0.00405558114851172 12.4059445052546
0.031272141530879 0.0846531385965845 0.001 0.001 0.030985317274247 0.0848908534301785 8.71033041616298
-0.112246833054101 -0.0613674369586409 0.001 0.001 -0.112275004153353 -0.0616475019319991 5.09856211942775
0.0500077683504405 0.0413460586639813 0.001 0.001 0.0487495995397133 0.0412976278175837 1.33959982345196
-0.0114437775381441 -0.0604762075924286 0.001 0.001 -0.0109403011238088 -0.0605837688693083 16.1067835197669
-0.059463444000533 -0.0370487689004609 0.001 0.001 -0.0605347168336596 -0.0373407475056458 117.10246688802
0.0226872003096883 -0.0162659044156167 0.001 0.001 0.0238859734024795 -0.0153532867077218 300.049726695508
0.144698769620707 -0.0852690611069462 0.001 0.001 0.143865075994556 -0.0866594614278989 3.7049532076124
-0.0485406325253949 0.041093463636885 0.001 0.001 -0.0487677746346825 0.0401775929263136 145.666809323409
0.481060304611616 -0.108394663162394 0.001 0.001 0.479766170104717 -0.107458240947095 2.4940558771718
-0.0308978814598289 0.0922584105287139 0.001 0.001 -0.03066849041418 0.093932338016331 2.37024478929946
0.0211319312742069 0.0894251964711597 0.001 0.001 0.0207559337432656 0.0896571764112203 1.41235210532832
-0.024989952788584 0.00811301995049249 0.001 0.001 -0.0238645757016828 0.0079407682103477 17.7411095882302
0.047065683555026 -0.056170920109068 0.001 0.001 0.047856135804979 -0.0556923491878505 4.02485584033843
-0.0468861590802054 0.00573534180770052 0.001 0.001 -0.0485702671309195 0.00549715134833619 274.92053192263
0.285531894294368 -0.0569644558560659 0.001 0.001 0.285828645667709 -0.0570257469179082 125.790871326148
0.00740808506711512 -0.0765193586869836 0.001 0.001 0.00737031164339323 -0.0754524587026636 17.9808651893616
0.326722973667438 -0.338648129754065 0.001 0.001 0.328106965120298 -0.33697632037703 3.10916873409706
0.00696436353434587 0.0642944754421554 0.001 0.001 0.0065891308898373 0.0628936912281611 6.22202325365788
-0.0615539011527615 -0.00165707063696402 0.001 0.001 -0.0609004442595206 -0.000141239147703482 1.01839884382368
-0.163777417320767 0.0258712390330704 0.001 0.001 -0.162871450370366 0.0248881345018409 6.95329120514755
